date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,bitcoin_close_change,volume_btc,volume_currency,gold_value,gold_change,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-09-17,0.07480974188000558,23632,3867,7297,8850,-0.40331956155372406,0.4191034096566872,16806,3618,3669.07,3772.52,3463.0,3662.99,-0.43327815424594185,11770.21,42657776.55,1322.85,0.0,812,0,8,127,158,41.84863758248383,-87.6730914803401
2017-09-18,0.04858643336283448,32739,6659,9438,12783,-0.3825632236677525,0.4123956233150923,23998,3859,3662.95,4122.7,3659.42,4101.6,11.974097663384313,17207.569999999996,67988469.48,1312.1,-0.8126393771024643,771,0,33,127,111,41.84907221719296,-87.67055033999212
2017-09-19,0.048321491586285584,31680,5865,8579,13552,-0.3928204940761776,0.42797536876955095,23963,3684,4102.0,4119.7,3848.35,3888.8,-5.188219231519408,15278.960000000005,60404491.58000002,1309.6,-0.19053425805959368,708,1,19,141,119,41.84669477290426,-87.66993373866708
2017-09-20,0.08137446076398278,28018,4652,8547,11023,-0.3889858289336741,0.4384448401928777,20550,3796,3888.8,4050.0,3820.56,3874.46,-0.3687512857436737,11660.28,45847238.86,1311.3,0.12981062919976696,826,0,30,165,133,41.842173508081736,-87.66910182793295
2017-09-21,0.03397925244638225,27583,5604,7736,10840,-0.4542308703964101,0.4448107524458424,20329,3403,3864.0,3914.0,3573.0,3617.05,-6.643764550414765,17904.32,67012342.18000001,1292.1,-1.464195836193094,803,1,21,137,126,41.85017617982518,-87.67526660911577
2017-09-22,0.05217099537925789,27340,4600,7564,11550,-0.4294298619732666,0.4269240749245411,19915,3626,3607.83,3761.84,3514.0,3612.18,-0.13464010726974562,15007.749999999998,54271184.8,1294.8,0.20896215463199752,797,0,13,150,112,41.84529737195208,-87.66908209701893
2017-09-23,0.08392478532873361,8492,1406,2766,3229,-0.4289554027443647,0.4446470606455287,6180,1091,3757.11,3783.25,3698.19,3779.17,4.6229700624,3440.98,12886444.05,1294.8,0.0,829,2,10,151,139,41.846973319189175,-87.6685359049685
2017-09-24,0.11199392010090788,11374,1571,3676,4395,-0.366098343274715,0.4482713462429493,8408,1732,3648.03,3735.17,3630.0,3664.22,-3.0416731716223504,3162.9,11659537.140000002,1294.8,0.0,808,0,10,135,161,41.84821281757125,-87.66970479550623
2017-09-25,0.10543634806434488,23442,2638,7357,9885,-0.4023600929802602,0.43263589468115854,16943,3562,3667.01,3968.59,3658.39,3918.0,6.925894187576076,14979.77,57632408.09,1293.3,-0.11584800741427648,820,0,37,144,112,41.842942050813,-87.66896677412916
2017-09-26,0.0789242653872577,26103,3631,7735,11108,-0.4202570052203574,0.4244566920957371,18967,3629,3920.66,3970.0,3850.61,3888.03,-0.7649310872894333,10014.639999999998,39220959.69000001,1300.05,0.5219206680584509,747,2,16,137,115,41.83815135976415,-87.66609782454447
2017-09-27,0.08113553797191901,29421,4141,8872,12450,-0.4061795776151085,0.42198257585543625,21383,3958,3883.95,4226.73,3870.0,4199.29,8.005596664634782,15075.819999999994,61255648.55000002,1282.55,-1.3461020729971906,724,1,26,135,109,41.84068629874477,-87.66615128612841
2017-09-28,0.08574424595297052,27561,4092,8270,11522,-0.3955675646125597,0.4405028754347862,19623,3677,4202.34,4270.01,4123.5,4184.84,-0.3441057893119992,9625.929999999997,40309035.76000001,1283.35,0.06237573583876,714,0,18,131,126,41.84347387538565,-87.66667405849014
