date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,volume_btc,volume_currency,bitcoin_change
2017-10-28,0.10503690066686255,22638,3627,7115,8287,-0.3516956393932693,0.4507713882429281,15948,3609,5773.03,5875.66,5646.18,5730.69,5926.29,33993472.69,-0.7138043171301067
2017-10-29,0.07105764441134292,24995,4127,6752,9621,-0.37303034281932207,0.4421004184394688,16796,4495,5731.7,6316.85,5683.0,6137.37,16086.640000000001,96361934.30000001,7.096527643268091
2017-10-30,0.0654093851549974,33014,4914,8926,15116,-0.38388421466516426,0.42596203788045445,24692,4058,6133.01,6229.77,6024.03,6119.99,9574.640000000001,58637080.13999999,-0.2831831875868662
2017-10-31,0.08382746189115088,37007,4922,9807,17484,-0.3765506518083228,0.4627583035719685,25871,4794,6120.0,6449.78,6072.81,6434.21,13423.339999999998,84354477.97,5.134322114905432
2017-11-01,0.08830303897772322,38412,5615,11971,16313,-0.3701799418163308,0.4293089279797526,27404,4513,6434.24,6756.36,6340.01,6741.59,12967.220000000003,84891427.32000001,4.777276464398894
2017-11-02,0.08813226306023103,46917,6604,16068,19925,-0.404630544255931,0.40067262003434573,31164,4320,6745.04,7354.1,6700.0,7030.0,26514.66,184979262.32999998,4.2780709001882355
2017-11-03,0.09934997443121218,37826,5235,12257,15868,-0.3951635285433553,0.43666384496362626,26137,4466,7030.0,7500.0,6925.22,7146.82,15999.76,116037544.13000001,1.6617354196301504
2017-11-04,0.11307978789453003,27583,3698,9063,10583,-0.4002165544296363,0.4527159057148382,18388,4239,7145.24,7569.9,6994.0,7388.83,9200.13,66730277.410000004,3.3862613022295207
2017-11-05,0.09346393107011461,29027,4908,9269,10623,-0.3780262901353288,0.44626226609572117,19002,4227,7388.79,7590.0,7275.16,7372.72,9218.310000000001,68631151.83000001,-0.2180318128851222
2017-11-06,0.09165390158795077,34053,4567,10641,14625,-0.3923733990456392,0.4289668011114993,24534,4220,7373.3,7421.39,6922.07,6967.68,19323.130000000005,138542391.76999998,-5.493766208400697
2017-11-07,0.07948602463651624,33455,5260,10259,14070,-0.3871461149707207,0.43191897973730403,24365,3866,6967.64,7244.69,6945.0,7130.28,11634.279999999999,82632999.57999998,2.333631854505369
2017-11-08,0.04290578877896497,43258,9619,12643,16795,-0.4336361941736422,0.4576818092521671,29930,4201,7131.38,7888.0,7080.01,7450.32,24679.72,183501327.10000002,4.488463286154265
2017-11-09,0.06138329758197941,28722,5208,8472,11300,-0.4347936893618422,0.44957133549635997,20027,3742,7398.99,7419.6,7061.2,7148.0,11424.029999999999,82087961.26999998,-4.0578122818885625
2017-11-10,0.07699080550213512,39022,6137,11420,14375,-0.41659877200970596,0.4356135602960309,25883,7090,7150.61,7343.18,6429.44,6588.18,26614.27,181284361.09000006,-7.831841074426404
2017-11-11,0.084678042168746,32684,5406,9775,10549,-0.4042013325247556,0.4499431233718035,20357,6954,6588.18,6820.0,6218.0,6355.13,14942.710000000001,96800268.08,-3.537395760285844
2017-11-12,0.07980200379372603,38265,6071,10250,11246,-0.4320617652315179,0.470146484287455,20805,10698,6355.13,6488.88,5555.55,5870.37,37315.149999999994,225565297.55000004,-7.627853403470897
2017-11-13,0.0741028125607421,43824,7208,11757,16086,-0.3998629006198377,0.46433526700016037,28684,8773,5870.03,6775.75,5846.0,6525.17,27202.28,173971383.57999995,11.154322470304256
2017-11-14,0.0809260965199769,39606,6467,11746,14209,-0.41883477852421197,0.4573516781779064,26977,7184,6524.69,6750.0,6466.88,6609.0,12072.050000000001,79508390.54,1.284717486287712
2017-11-15,0.10052218101245541,41520,5760,12571,16683,-0.398166650298785,0.46222078998393784,28042,6506,6609.0,7350.0,6609.0,7294.0,16869.890000000003,119171192.38000003,10.36465425934332
2017-11-16,0.10863194672848937,44519,5608,13990,18372,-0.3822408074137429,0.4502317624194998,30684,6549,7294.0,7976.79,7120.85,7846.96,19272.379999999997,145738327.50000003,7.581025500411287
2017-11-17,0.10103141700385913,44019,7404,15127,16041,-0.3985439949759426,0.45411831918899437,30842,5447,7846.96,7997.0,7528.5,7674.99,17714.35,138124189.40999997,-2.19154933885225
2017-11-18,0.1330250618109022,31184,3647,10175,11625,-0.4029328304285726,0.47717735254521937,21042,5737,7675.0,7858.0,7431.54,7771.03,7326.819999999999,56264967.239999995,1.251337135292685
2017-11-19,0.1238084370069579,31295,4178,10548,11259,-0.4058037310726132,0.46861336742710263,20654,5310,7775.55,8087.35,7675.0,8016.58,8307.800000000003,65332064.65,3.1598127918692986
2017-11-20,0.09715236786574566,44218,6474,14298,17893,-0.4115956251040887,0.4482467757160158,30902,5553,8016.58,8269.99,7900.0,8226.17,8179.450000000001,66366007.81,2.6144565388232843
2017-11-21,0.07546602397864068,45257,7568,13246,18570,-0.40388492045540364,0.45611598338273923,31432,5873,8226.14,8354.46,7770.0,8095.23,13686.520000000002,110811263.47,-1.5917492587680604
2017-11-22,0.08641551172869265,44865,7326,14672,17304,-0.4198251899032126,0.43955061735774104,32471,5563,8095.19,8310.89,8045.76,8214.69,8078.570000000002,66215711.71000001,1.4756838286250185
2017-11-23,0.12047530433043424,37653,5152,12381,13686,-0.3964269828012454,0.4684452968763133,25765,6434,8214.69,8279.76,7980.0,7989.0,7811.82,63644740.38000001,-2.7473952151572445
2017-11-24,0.13493915019525193,37222,4528,12942,13995,-0.3951506670263878,0.46738502397881093,26073,5757,7988.96,8340.0,7876.0,8199.19,9290.0,75751868.76,2.630992614845429
2017-11-25,0.1356107293864198,32727,4013,11167,12543,-0.39652103755792517,0.4770365185023091,21404,5004,8199.83,8737.0,8114.78,8717.99,11611.660000000002,97628924.78999999,6.327454297314716
2017-11-26,0.11475883082611844,44722,6317,14980,18237,-0.3637928658639355,0.459946104590862,27832,5188,8718.0,9366.6,8538.2,9271.06,12021.19,108525815.41999999,6.344008194549433
2017-11-27,0.10692206551000467,64214,10246,21974,26191,-0.3811414912669359,0.4643111494334267,43303,5803,9499.47,9721.7,9267.0,9708.07,12273.75,117077487.31,4.7137004830084095
2017-11-28,0.10664458844960682,68802,10344,24202,27912,-0.3766440510390423,0.4334805408626159,44339,6344,9708.06,9968.0,9582.25,9868.82,11214.95,110496755.83999999,1.65583890515828
2017-11-29,0.09232030211762733,102558,18663,36595,40374,-0.3939068120442161,0.44575519273920533,57838,6926,9877.63,11395.0,9250.0,9824.68,33432.34,346949562.2,-0.44726725180922466
2017-11-30,0.08273425598089233,72214,14063,24771,27307,-0.3909912816300208,0.44358581745365216,47411,6073,9833.7,10618.29,9000.0,9947.67,25433.48,247093850.77000004,1.2518473884136627
2017-12-01,0.10916606658001726,65700,10009,22517,26665,-0.37693682500207576,0.4528470413975019,44944,6509,9927.29,10949.89,9370.11,10840.45,16708.010000000002,171881760.63000003,8.97476494495697
